Computer Engineering (Major)
EGR101
1,UNIV101
4,MA243,MA242
4,MA345,MA243
3,MA412,MA242
3,PS250,PS150|PS226 MA242
3,CEC220
1,CEC222
3,CEC300,EGR115|CS223
3,CEC315,EGR115|CS223
3,CEC320,CEC220
1,CEC322,CEC222
4,CEC330,CEC220 CEC222
0,CEC330L
3,CEC410,CEC315
1,CEC411,CEC315
3,CEC420
3,CEC421,CEC420
3,CEC450,CS225 CEC320
3,CEC470,CEC320
3,CS222
4,CS225,CS223|EGR115
0,CS225L
3,CS420,CS225
3,CS462
3,EE223,MA345 PS250
1,EE224
3,EE300,EE223
3,EE302,EE223
1,EE304,EE302
3,EE401,MA345 EE300
1,EE402,EE401
3,SYS320,EE223 EE224
