Mechanical Engineering (Major)
2,EGR101
1,UNIV101
4,MA243,MA242
4,MA345,MA243
3,CHM110
1,CHM110L
3,PS250,PS150 PS226
3,EE327,COM221|PS250|PS253
3,EGR120
3,ES201,PS150 PS226|EGR120 EGR100 EGR111
3,ES204,EGR115|ES201
3,ES305
3,ES309,ES204|MA345
2,ES320,COM221|ES202|CHM110 CHM140
1,ES321,ES320
3,ES403,ES309 AE307
1,ME208,EGR120
2,ME325,ES202|ES204|MA345
1,ME326,ES202|ES204|MA345
3,ME304,ES202
2,ME313,EE327
1,ME314,ME313
3,ME400,MA345|ES202|ES204
3,ME436
2,ME438,MA345|ME313|314
1,ME438L,MA345
3,ME320,ES204
3,ME442,ES309
3,ME460,ME304 AE318
4,ME448,ME304|ME325|ME326
4,ME458,ME448
3,ME316,ES305
3,ME443,ES305
3,ME445,ES305
4,ME414,ME304|ES403|ME325|ME326
4,ME434,ME414
3,ME303,ES202|ES204
3,ME409,ES201|ES204|ES309|ES305
4,ME413,ME304|ES305|ME325|ME326
4,ME433,ME413
3,ME439,ME303
3,ME311,EGR115 CS223
3,ME402,ES204
3,ME404,ES204
4,ME407
4,ME437,ME407
